timestamp,customer_no,location,weekday,time,hour
2019-09-02 07:03:00,Monday_1,dairy,Monday,07:03:00,7
2019-09-02 07:03:00,Monday_2,dairy,Monday,07:03:00,7
2019-09-02 07:04:00,Monday_3,dairy,Monday,07:04:00,7
2019-09-02 07:04:00,Monday_4,dairy,Monday,07:04:00,7
2019-09-02 07:04:00,Monday_5,spices,Monday,07:04:00,7
2019-09-02 07:04:00,Monday_6,spices,Monday,07:04:00,7
2019-09-02 07:04:00,Monday_7,spices,Monday,07:04:00,7
2019-09-02 07:04:00,Monday_8,fruit,Monday,07:04:00,7
2019-09-02 07:05:00,Monday_1,checkout,Monday,07:05:00,7
2019-09-02 07:05:00,Monday_5,checkout,Monday,07:05:00,7
2019-09-02 07:05:00,Monday_6,dairy,Monday,07:05:00,7
2019-09-02 07:05:00,Monday_7,drinks,Monday,07:05:00,7
2019-09-02 07:06:00,Monday_2,checkout,Monday,07:06:00,7
2019-09-02 07:06:00,Monday_3,checkout,Monday,07:06:00,7
2019-09-02 07:06:00,Monday_9,dairy,Monday,07:06:00,7
2019-09-02 07:06:00,Monday_10,fruit,Monday,07:06:00,7
2019-09-02 07:06:00,Monday_11,drinks,Monday,07:06:00,7
2019-09-02 07:06:00,Monday_12,spices,Monday,07:06:00,7
2019-09-02 07:06:00,Monday_13,dairy,Monday,07:06:00,7
2019-09-02 07:06:00,Monday_14,fruit,Monday,07:06:00,7
2019-09-02 07:07:00,Monday_8,checkout,Monday,07:07:00,7
2019-09-02 07:07:00,Monday_12,drinks,Monday,07:07:00,7
2019-09-02 07:07:00,Monday_15,spices,Monday,07:07:00,7
2019-09-02 07:07:00,Monday_16,dairy,Monday,07:07:00,7
2019-09-02 07:08:00,Monday_4,checkout,Monday,07:08:00,7
2019-09-02 07:08:00,Monday_10,checkout,Monday,07:08:00,7
2019-09-02 07:08:00,Monday_11,checkout,Monday,07:08:00,7
2019-09-02 07:08:00,Monday_15,fruit,Monday,07:08:00,7
2019-09-02 07:09:00,Monday_7,spices,Monday,07:09:00,7
2019-09-02 07:09:00,Monday_14,checkout,Monday,07:09:00,7
2019-09-02 07:09:00,Monday_16,spices,Monday,07:09:00,7
2019-09-02 07:10:00,Monday_12,checkout,Monday,07:10:00,7
2019-09-02 07:11:00,Monday_7,fruit,Monday,07:11:00,7
2019-09-02 07:11:00,Monday_16,checkout,Monday,07:11:00,7
2019-09-02 07:11:00,Monday_17,fruit,Monday,07:11:00,7
2019-09-02 07:12:00,Monday_9,fruit,Monday,07:12:00,7
2019-09-02 07:12:00,Monday_15,checkout,Monday,07:12:00,7
2019-09-02 07:12:00,Monday_18,fruit,Monday,07:12:00,7
2019-09-02 07:12:00,Monday_19,spices,Monday,07:12:00,7
